,track_id,lat,lon,speed,lon_acc,lat_acc,time,type,traveled_d,avg_speed
90,91,37.978455,23.735634,25.6692,0.2382,0.0114,0.4, Motorcycle,200.41,14.091146
91,92,37.980442,23.735158,32.5542,0.0424,-0.1623,0.4, Taxi,214.67,14.97669
92,93,37.978658,23.736648,32.4672,-0.0752,-0.0224,0.8, Motorcycle,193.61,28.800755
93,94,37.97959,23.736095,2.3425,-1.6275,0.0005,1.8, Car,110.34,9.237562
94,95,37.98048,23.735205,17.2334,0.0471,0.0213,3.6, Taxi,463.5,20.600212
95,96,37.978449,23.735599,22.3918,0.0447,0.0356,6.6, Car,204.85,14.749486
96,97,37.980506,23.735184,13.4333,0.0444,0.0462,7.2, Heavy Vehicle,467.87,16.102669
97,98,37.978788,23.737322,12.0259,-0.0839,-0.334,14.4, Motorcycle,9.37,8.433102
98,99,37.979417,23.73577,25.251,-0.027,-1.6248,15.6, Motorcycle,19.93,22.420906
99,100,37.978412,23.735535,26.3725,0.009,-0.0397,19.2, Car,212.97,10.618917
100,101,37.978403,23.735522,33.4183,0.0539,-0.0514,22.8, Car,169.41,9.932919
101,102,37.980597,23.735029,44.6811,0.131,-0.0767,24.6, Motorcycle,463.17,31.942672
102,103,37.980653,23.735109,36.0322,0.0427,-0.0439,25.0, Motorcycle,57.62,23.048464
103,104,37.980044,23.736905,21.1863,-0.0347,-0.3453,25.2, Car,196.09,14.118836
104,105,37.980589,23.735027,38.6051,0.1324,0.0346,27.4, Taxi,235.0,30.000579
105,106,37.980653,23.735106,21.8543,0.0343,-0.0212,27.6, Medium Vehicle,502.33,31.726205
106,107,37.980615,23.735047,25.036,0.069,-0.0736,27.8, Car,236.72,25.668102
107,108,37.978414,23.737914,15.1925,-0.0781,-0.0111,28.0, Motorcycle,79.34,13.472079
108,109,37.980042,23.736903,21.6697,-0.0127,0.1015,28.0, Car,196.8,14.169529
109,110,37.980606,23.735026,35.1799,0.027,-0.021,28.2, Motorcycle,489.1,35.215056
110,111,37.978408,23.735532,48.5979,0.0106,-0.0524,29.8, Motorcycle,346.02,15.570855
111,112,37.980611,23.735057,22.9195,0.0006,-0.0689,30.2, Car,485.57,29.527702
112,113,37.980644,23.735111,18.0177,-0.021,-0.0351,30.8, Taxi,498.93,32.073758
113,114,37.978406,23.73554,51.284,0.0766,-0.0187,31.2, Motorcycle,345.72,15.104365
114,115,37.980583,23.735032,36.1219,0.1194,0.0837,31.4, Taxi,486.39,30.189553
115,116,37.978414,23.735548,38.4547,0.0045,-0.0315,33.6, Car,264.09,14.948745
116,117,37.978397,23.735552,29.584,-0.0251,-0.2452,33.8, Motorcycle,261.73,16.472408
117,118,37.980607,23.735063,26.4858,0.0178,-0.0872,33.8, Car,483.02,30.506824
