track_id,lat,lon,speed,lon_acc,lat_acc,time
280,37.980037,23.736897,25.1774,-0.1238,-0.0108,185.2
281,37.977618,23.737407,7.8342,-0.0035,0.1706,194.4
282,37.978411,23.735517,25.798,-2.4037,0.2022,196.0
283,37.980061,23.73701,12.325,-0.4514,-0.3539,204.4
284,37.980625,23.735054,35.5155,0.5271,-0.0253,205.8
285,37.980639,23.735081,30.5454,-0.0084,-1.2314,206.2
286,37.980595,23.735034,41.8506,-0.7133,-0.4785,207.6
287,37.980651,23.735104,30.9267,0.2784,-2.2206,207.6
288,37.980611,23.735056,44.2712,-2.8132,-0.408,208.4
289,37.97841,23.735513,28.1841,-0.6653,0.2398,209.4
290,37.9806,23.735028,44.4407,-5.2064,-1.1906,209.8
291,37.978403,23.735525,39.0445,0.3495,-0.1518,210.2
292,37.98054,23.734914,19.7935,-2.9822,-1.1692,211.2
293,37.98007,23.73699,12.4374,-0.183,-0.0886,211.4
294,37.978411,23.735518,36.8683,-0.5484,-0.6459,211.4
295,37.980596,23.735037,42.4179,-1.128,-0.3726,212.8
296,37.980636,23.735083,41.7409,-1.9334,-1.0851,213.4
297,37.980622,23.735043,30.7588,2.8404,-3.1318,214.8
298,37.980649,23.735081,31.9588,6.4409,-3.2853,214.8
299,37.980635,23.735073,40.2432,2.368,-0.9702,215.6
300,37.980589,23.735017,45.6797,0.7918,0.4919,217.4
301,37.980617,23.735057,39.1997,-6.6862,0.4817,217.8
302,37.978405,23.735518,30.124,5.3822,-1.0201,218.2
303,37.980628,23.73505,26.4427,7.6802,-2.3671,218.4
304,37.980652,23.735098,48.2772,0.1541,-0.8998,218.8
305,37.978367,23.737818,8.778,0.2349,-0.0041,219.2
306,37.980628,23.735064,37.8425,-1.3742,-0.3243,219.8
307,37.978404,23.735522,30.8804,2.0681,0.3693,220.6
308,37.980067,23.736983,14.075,-0.0408,-0.0282,220.8
309,37.980629,23.735039,52.9276,5.1737,-1.8193,223.0
310,37.980632,23.735087,53.1006,3.8229,-1.1057,223.6
311,37.977621,23.737409,13.4422,-1.2233,1.331,224.0
312,37.978405,23.735515,27.0803,-0.0993,-1.883,227.4
313,37.978419,23.73554,28.0454,0.0037,-0.1675,230.2
314,37.978409,23.735533,24.3808,-0.0513,0.0189,231.8
315,37.97842,23.735519,25.2426,0.047,-0.0353,233.0
316,37.978416,23.735525,25.7842,0.0479,-0.0096,234.6
317,37.978419,23.73553,30.0962,0.1127,0.0066,237.0
